Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","2000","2000","1000 ha","128510","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","2001","2001","1000 ha","128606","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","2002","2002","1000 ha","128710","A","Official figure",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","2003","2003","1000 ha","129103.3","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","2004","2004","1000 ha","129496.6","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","2005","2005","1000 ha","129920.9","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","2006","2006","1000 ha","130138.9","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","2007","2007","1000 ha","129968.4","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","2008","2008","1000 ha","127046.9","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","2009","2009","1000 ha","124328.4","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","2010","2010","1000 ha","126267.9","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","2011","2011","1000 ha","125318.4","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","2012","2012","1000 ha","124741.9","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","2013","2013","1000 ha","122937.4","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","2014","2014","1000 ha","120950.5261","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","2015","2015","1000 ha","120753.5346","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","2016","2016","1000 ha","118861.0795","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","2017","2017","1000 ha","117629.9862","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","2018","2018","1000 ha","115930","I","Value imputed by a receiving agency",""
